id,State,Code,Zone,Latitude,Longitude
1,JOHOR,JHR01,Pulau Aur ,2.444152,104.5247463
2,JOHOR,JHR01,Pemanggil ,2.5808822,104.3268266
3,JOHOR,JHR02,Kota Tinggi,1.729375,103.899227
4,JOHOR,JHR02,Mersing,2.430917,103.8361151
5,JOHOR,JHR02,Johor Bahru,1.492659,103.7413591
6,JOHOR,JHR03,Kluang ,2.030068,103.3184639
7,JOHOR,JHR03,Pontian,1.4869255,103.388961
8,JOHOR,JHR04,Batu Pahat,1.8469413,102.9352354
9,JOHOR,JHR04,Muar,2.0630519,102.5848717
10,JOHOR,JHR04,Segamat,2.50346,102.8207542
11,JOHOR,JHR04,Gemas,2.6519637,102.6905326
12,KEDAH,KDH01,Kota Setar,6.0969533,100.3539766
13,KEDAH,KDH01,Kubang Pasu,6.3705442,100.4452756
14,KEDAH,KDH01,Pokok Sena,6.167317,100.519358
15,KEDAH,KDH02,Pendang,5.993039,100.4773388
16,KEDAH,KDH02,Kuala Muda,5.586806,100.375884
17,KEDAH,KDH02,Yan,5.79495,100.372658
18,KEDAH,KDH03,Padang Terap,6.2567642,100.6110339
19,KEDAH,KDH03,Sik,5.818345,100.743021
20,KEDAH,KDH04,Baling,5.675547,100.9168139
21,KEDAH,KDH05,Kulim,5.371742,100.5553372
22,KEDAH,KDH05,Bandar Bahru,5.131163,100.495534
23,KEDAH,KDH06,Langkawi,6.35,99.8
24,KEDAH,KDH07,Gunung Jerai,5.7875,100.4338889
25,KELANTAN,KTN01,K.Bharu,6.1167855,102.2776838
26,KELANTAN,KTN01,Bachok,6.0476558,102.394478
27,KELANTAN,KTN01,Pasir Puteh,5.836163,102.4077409
28,KELANTAN,KTN01,Tumpat,6.199069,102.169372
29,KELANTAN,KTN01,Pasir Mas,6.042412,102.142782
30,KELANTAN,KTN01,Tnh. Merah,5.808887,102.1470772
31,KELANTAN,KTN01,Machang,5.767933,102.2153872
32,KELANTAN,KTN01,Kuala Krai,5.530813,102.2018512
33,KELANTAN,KTN01,Mukim Chiku,5.530813,102.2018512
34,KELANTAN,KTN03,Jeli,5.700699,101.8431511
35,KELANTAN,KTN03,Gua Musang (Mukim Galas,5.700699,101.8431511
36,KELANTAN,KTN03,Bertam),5.038421,101.6157773
37,KUALA_LUMPUR,SGR03,Kuala Lumpur,3.139003,101.686855
38,LABUAN,WLY02,Labuan,5.2831456,115.230825
39,MELAKA,MLK01,Bandar Melaka,2.189594,102.2500868
40,MELAKA,MLK01,Alor Gajah,2.382211,102.2115611
41,MELAKA,MLK01,Jasin,2.311337,102.4309231
42,MELAKA,MLK01,Masjid Tanah,2.352279,102.1089262
43,MELAKA,MLK01,Merlimau,2.145214,102.4223828
44,MELAKA,MLK01,Nyalas,2.4352602,102.4721507
45,NEGERI_SEMBILAN,NGS01,Jempol,2.8965766,102.4054538
